time;dt;imu_reseted;gps_position_received;initial_heading;gps_x;gps_y;gps_speed;gps_says_robot_moving;moving_motors;om_gauche;om_droit;meca_position_measure_received;meca_fiab;meca_position_x;meca_position_y;meca_velocity_x;visu_position_measure_received;visu_fiab;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_received;imu_theta;imu_yaw_velocity;kalman_position_x;kalman_position_y
1471008700841;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.895434;-0.241158;6.52503;-0.859524
1471008700851;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.894232;-0.12025;6.52773;-0.856092
1471008700861;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.891773;-0.245843;6.530434;-0.852662
1471008700871;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.889646;-0.21275;6.533147;-0.84924
1471008700881;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.968669;-0.898409;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.888528;-0.111779;6.535866;-0.845823
1471008700892;0.011;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.968669;-0.898409;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.886317;-0.200975;6.538884;-0.842041
1471008700901;0.009;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.968669;-0.898409;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.884279;-0.226492;6.54136;-0.838952
1471008700911;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.968669;-0.898409;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.883337;-0.094176;6.544118;-0.835525
1471008700922;0.011;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.98731;-0.875607;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.881416;-0.174671;6.547156;-0.831759
1471008700931;0.009;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.98731;-0.875607;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.879538;-0.208673;6.549647;-0.828682
